Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,163.078706,-129.224005,180.000000,top
C2,1uF,C_0402_1005Metric,154.500000,-134.520000,-90.000000,top
C3,1uF,C_0402_1005Metric,137.610000,-80.940000,0.000000,top
C4,1uF,C_0402_1005Metric,124.520000,-113.500000,180.000000,top
C5,1uF,C_0402_1005Metric,154.000000,-87.500000,0.000000,top
C6,1uF,C_0402_1005Metric,152.980000,-103.500000,180.000000,top
C7,100nF,C_0402_1005Metric,152.980000,-102.500000,180.000000,top
C8,1uF,C_0402_1005Metric,157.500000,-101.000000,180.000000,top
C9,100nF,C_0402_1005Metric,157.480000,-100.000000,180.000000,top
C10,1uF,C_0402_1005Metric,148.000000,-116.000000,180.000000,top
C11,100nF,C_0402_1005Metric,147.960000,-118.000000,180.000000,top
R1,5.1K,R_0603_1608Metric,162.598706,-126.116923,180.000000,top
R2,5.1K,R_0603_1608Metric,162.423706,-118.724005,180.000000,top
R3,5.1K,R_0603_1608Metric,152.500000,-134.825000,-90.000000,top
R4,5.1K,R_0603_1608Metric,142.000000,-133.325000,-90.000000,top
R5,5.1K,R_0603_1608Metric,127.000000,-121.641901,180.000000,top
R6,5.1K,R_0603_1608Metric,129.500000,-110.000000,0.000000,top
U1,SL2.1S,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,146.500000,-109.641218,0.000000,top
USB2,TYPE-C 16PIN 2MD,USB-C-SMD_TYPE-C-6PIN-2MD-073,143.146282,-140.628782,0.000000,top
USB5,10.0 QHHTZB6.3,USB-A-TH_10.0QHHTZB6.3,129.500000,-84.721218,-90.000000,top
USB6,TYPE-C 16PIN 2MD,USB-C-SMD_TYPE-C-6PIN-2MD-073,168.516206,-125.224005,90.000000,top
USB7,TYPE-C 16PIN 2MD,USB-C-SMD_TYPE-C-6PIN-2MD-073,119.082500,-118.383119,-90.000000,top
USB8,10.0 QHHTZB6.3,USB-A-TH_10.0QHHTZB6.3,160.500000,-81.000000,90.000000,top
